name,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,TU17,TU18,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,TH7,TH8,TH9,TH10,TH11,TH12,TH13,TH14,TH15,TH16,TH17,TH18,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,daily_wait_std,daily_wait_25,daily_wait_50,daily_wait_75,weekday_wait_std,weekday_wait_25,weekday_wait_50,weekday_wait_75,mon_avg,tues_avg,wed_avg,thurs_avg,fri_avg,sat_avg,7_weekday_hour_avg_wait,8_weekday_hour_avg_wait,9_weekday_hour_avg_wait,10_weekday_hour_avg_wait,11_weekday_hour_avg_wait,12_weekday_hour_avg_wait,13_weekday_hour_avg_wait,14_weekday_hour_avg_wait,15_weekday_hour_avg_wait,16_weekday_hour_avg_wait,17_weekday_hour_avg_wait,18_weekday_hour_avg_wait
Alturas,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7746976794354631,0.0,0.0,1.0,0.7890493457677391,0.0,1.0,1.0,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.5,1.0833333333333333,0.0,0.0,0.8,1.0,1.4,1.2,0.0,2.0,1.2,1.0,0.6,0.0,0.0
Arleta,0.0,12.0,21.0,33.0,31.0,34.0,32.0,31.0,43.0,28.0,4.0,0.0,0.0,15.0,28.0,33.0,32.0,34.0,26.0,29.0,35.0,23.0,7.0,0.0,0.0,7.0,20.0,40.0,34.0,41.0,42.0,40.0,50.0,12.0,0.0,0.0,0.0,11.0,18.0,30.0,16.0,10.0,20.0,13.0,17.0,11.0,4.0,0.0,0.0,13.0,18.0,31.0,31.0,27.0,30.0,27.0,31.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.939254935510306,0.0,14.5,31.0,14.20530457139521,7.0,20.0,31.0,22.416666666666668,21.833333333333332,23.833333333333332,12.5,18.666666666666668,0.0,0.0,11.6,21.0,33.4,28.8,29.2,30.0,28.0,35.2,17.6,3.4,0.0
Arvin,0.0,14.0,36.0,38.0,38.0,33.0,36.0,36.0,25.0,7.0,0.0,0.0,0.0,16.0,39.0,28.0,24.0,26.0,32.0,27.0,26.0,12.0,1.0,0.0,0.0,5.0,18.0,24.0,23.0,25.0,34.0,24.0,27.0,8.0,0.0,0.0,0.0,6.0,11.0,13.0,22.0,28.0,15.0,11.0,10.0,9.0,0.0,0.0,0.0,10.0,11.0,10.0,16.0,16.0,17.0,8.0,16.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.776450056895225,0.0,10.0,24.0,12.510097616440943,4.0,13.5,25.25,21.916666666666668,19.25,15.666666666666666,10.416666666666666,9.5,0.0,0.0,10.2,23.0,22.6,24.6,25.6,26.8,21.2,20.8,9.0,0.4,0.0
Auburn,0.0,12.0,28.0,33.0,36.0,33.0,30.0,20.0,16.0,5.0,0.0,0.0,0.0,7.0,17.0,11.0,9.0,19.0,20.0,17.0,21.0,17.0,0.0,0.0,0.0,2.0,14.0,30.0,37.0,50.0,36.0,18.0,27.0,18.0,0.0,0.0,0.0,8.0,15.0,15.0,11.0,17.0,18.0,14.0,20.0,5.0,0.0,0.0,0.0,8.0,15.0,20.0,26.0,23.0,26.0,21.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.355075366987595,0.0,11.5,20.0,12.10658876502476,1.5,15.5,21.0,17.75,11.5,19.333333333333332,10.25,15.166666666666666,0.0,0.0,7.4,17.8,21.8,23.8,28.4,26.0,18.0,22.0,12.4,0.0,0.0
Bakersfield Southwest,0.0,15.0,42.0,45.0,33.0,33.0,32.0,31.0,38.0,17.0,0.0,0.0,0.0,14.0,37.0,41.0,42.0,43.0,23.0,25.0,30.0,11.0,0.0,0.0,0.0,5.0,22.0,48.0,44.0,30.0,33.0,32.0,30.0,12.0,0.0,0.0,0.0,11.0,14.0,17.0,15.0,16.0,17.0,18.0,26.0,13.0,0.0,0.0,0.0,15.0,29.0,21.0,19.0,22.0,23.0,23.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.134348790153952,0.0,15.0,29.25,14.658677844819161,3.75,17.5,30.25,23.833333333333332,22.166666666666668,21.333333333333332,12.25,15.083333333333334,0.0,0.0,12.0,28.8,34.4,30.6,28.8,25.6,25.8,28.8,12.4,0.0,0.0
Bakersfield,0.0,10.0,28.0,47.0,42.0,65.0,48.0,39.0,36.0,35.0,2.0,0.0,0.0,13.0,32.0,46.0,37.0,38.0,39.0,35.0,46.0,23.0,4.0,0.0,0.0,6.0,16.0,31.0,19.0,36.0,36.0,37.0,32.0,10.0,0.0,0.0,0.0,11.0,19.0,27.0,29.0,36.0,32.0,33.0,34.0,13.0,0.0,0.0,0.0,10.0,17.0,30.0,29.0,27.0,30.0,46.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.681497893621128,0.0,16.5,35.0,17.004153696607574,5.5,27.5,36.0,29.333333333333332,26.083333333333332,18.583333333333332,19.5,19.833333333333332,0.0,0.0,10.0,22.4,36.2,31.2,40.4,37.0,38.0,37.2,18.4,1.2,0.0
Banning,0.0,12.0,20.0,32.0,34.0,33.0,31.0,23.0,22.0,10.0,1.0,0.0,0.0,14.0,27.0,42.0,35.0,30.0,28.0,27.0,30.0,12.0,0.0,0.0,0.0,4.0,13.0,32.0,33.0,29.0,27.0,17.0,20.0,11.0,0.0,0.0,0.0,11.0,26.0,36.0,40.0,35.0,26.0,27.0,17.0,4.0,0.0,0.0,0.0,10.0,27.0,42.0,52.0,56.0,47.0,36.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.953178754187748,0.0,13.5,29.25,15.500537625084709,3.25,21.0,31.25,18.166666666666668,20.416666666666668,15.5,18.5,26.083333333333332,0.0,0.0,10.2,22.6,36.8,38.8,36.6,31.8,26.0,23.6,10.2,0.2,0.0
Bell Gardens,1.0,22.0,9.0,16.0,26.0,29.0,34.0,23.0,31.0,17.0,0.0,0.0,1.0,24.0,29.0,32.0,37.0,42.0,43.0,41.0,41.0,17.0,0.0,0.0,1.0,10.0,14.0,21.0,24.0,34.0,32.0,31.0,35.0,23.0,1.0,0.0,1.0,17.0,14.0,16.0,22.0,20.0,29.0,22.0,24.0,13.0,0.0,0.0,1.0,12.0,9.0,15.0,16.0,16.0,13.0,14.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51055925073443,0.0,14.5,24.0,12.929010868349454,7.0,17.0,26.75,17.333333333333332,25.583333333333332,18.833333333333332,14.833333333333334,11.416666666666666,0.0,1.0,17.0,15.0,20.0,25.0,28.2,30.2,26.2,31.0,17.4,0.2,0.0
Bellflower,0.0,17.0,47.0,43.0,48.0,52.0,38.0,32.0,40.0,26.0,2.0,0.0,0.0,18.0,45.0,49.0,44.0,48.0,38.0,35.0,50.0,45.0,10.0,0.0,0.0,10.0,36.0,52.0,45.0,37.0,29.0,33.0,40.0,32.0,0.0,0.0,0.0,15.0,37.0,59.0,57.0,66.0,65.0,42.0,43.0,29.0,1.0,0.0,0.0,15.0,40.0,41.0,36.0,41.0,38.0,27.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0861560766956,0.0,29.0,41.25,19.79545116954018,10.0,35.5,43.25,28.75,31.833333333333332,26.166666666666668,34.5,24.083333333333332,0.0,0.0,15.0,41.0,48.8,46.0,48.8,41.6,33.8,40.8,30.4,2.6,0.0
Brawley,0.0,12.0,18.0,25.0,23.0,25.0,27.0,33.0,26.0,17.0,0.0,0.0,0.0,10.0,9.0,13.0,15.0,18.0,21.0,16.0,20.0,8.0,0.0,0.0,0.0,5.0,16.0,14.0,14.0,14.0,21.0,14.0,12.0,14.0,1.0,0.0,0.0,6.0,3.0,7.0,4.0,7.0,8.0,9.0,8.0,5.0,1.0,0.0,0.0,6.0,6.0,13.0,7.0,8.0,14.0,7.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49150362437754,0.0,7.0,14.0,8.376116166451986,2.5,8.0,14.25,17.166666666666668,10.833333333333334,10.416666666666666,4.833333333333333,6.25,0.0,0.0,7.8,10.4,14.4,12.6,14.4,18.2,15.8,14.2,10.4,0.6,0.0
